r_alfa_a r_moment_A r_power_A r_alfa_K r_moment_K r_power_K r_alfa_H r_moment_H r_power_H
2.64099726466904 -48.0480438378223 -7.84125266873204 15.5566804749544 -12.1749806121474 15.8287714874148 3.57054627416553 -27.7377280327243 60.9459133470869
2.90358561057524 -50.8267787414227 -9.77053036140805 15.6639774207903 -14.29789368126 16.3491657394192 3.68960825440783 -35.8525701393179 77.4531939330394
3.20569861776948 -52.5168872288629 -11.7789563254103 15.7832935546505 -14.7907302930403 14.5782436274894 3.80975859987838 -41.8546718540635 88.8251207434909
3.50183854470804 -55.8156645685236 -14.4734100136594 16.0104335500625 -16.9140523986923 13.9630485322793 3.98505696332956 -50.4874529185561 105.133889295142
3.73391078416052 -58.0215572409178 -17.211887298699 16.4684960840378 -18.0711982986677 11.9422519773318 4.20984709662107 -58.5414167570569 119.440770795642
3.73534760444716 -60.1087753836809 -20.0763247920367 17.1801338773644 -18.7378950371381 9.16363939595059 4.50813697902717 -66.0360956724516 131.75500243588
3.36917107091966 -63.2078086554707 -23.240980789659 18.1591839186939 -20.1776128787333 6.20363372529573 4.88292993723576 -75.0750822940016 146.123695356426
2.5009462722278 -65.793111379675 -25.8370252713883 19.3245306795223 -20.2319945564614 2.31061544878479 5.280836533412 -82.7200689000914 156.635336708533
0.956190240268273 -69.8288641750392 -28.0895664985983 20.6309097013279 -20.9038251759395 -1.92530675041166 5.68537017516135 -91.9714612213817 168.924476519539
-1.50400035262455 -73.6088948965519 -28.5030548555515 22.0134236027195 -20.4417934388721 -6.38269078456048 6.1703182425729 -100.233380676001 177.914469758054
-5.17045726523474 -77.6404449749332 -26.0497976201903 23.4302848066547 -18.9723970424744 -10.3691770544956 6.73073001704994 -107.881459340239 184.228616335161
-10.2899181175448 -82.294420476601 -19.1432635366281 24.8501922126742 -17.5470191523965 -13.9506187708904 7.42071086853675 -115.73673815056 189.054547075405
-17.1039902956663 -86.9627107367384 -5.35510394971006 26.2294952265489 -15.7540440757591 -16.6573343584327 8.34659307875933 -124.151760936729 192.437941651133
-25.6717241316221 -91.1892729554535 17.7944858449217 27.5606858055955 -13.5826055240481 -18.1048511765527 9.56812875291813 -131.944343219226 191.892009783082
-35.8158805372538 -94.6693166636438 52.3802237276367 28.8276700495333 -9.88267902309544 -16.0220028182637 11.1181058950871 -136.544776782343 183.401414022855
-47.0398196666916 -96.8064810573882 99.1003039219541 30.0294136601347 -6.08768635958493 -11.6975790534949 13.0737610008774 -139.973114257017 169.706467645519
-58.4725697106178 -96.840915473303 155.760926067497 31.1687686082592 -3.38643316970246 -7.56259075980773 15.414139391739 -142.476029041774 150.77960260142
-68.9726947740992 -94.6861951173163 217.602849751146 32.2390073821798 -1.40058805396635 -3.57933232181355 18.0789405293363 -141.300813498498 123.990204874181
-77.0369051549158 -90.5052006758143 277.716713116727 33.2718964274834 1.93694096352801 5.59448878436866 21.008498011274 -135.446871744098 90.3980697858166
-80.7416788622942 -84.1100390738047 326.00491104761 34.2722332783628 4.42876355828495 14.3094847217941 24.1331175612214 -126.736487963232 53.9992407966717
-77.8856464228427 -74.7333898713102 347.868226870712 35.2097073407696 9.58175648851155 34.3326874365412 27.2424060657139 -108.048545551034 16.6017534319694
-66.3570463848095 -65.1149026650597 346.304516127071 35.9961489360697 10.7634596814253 42.4413156006084 30.2562300533876 -93.6326899485717 -13.9429774533027
-44.6461117283293 -51.3460920740469 296.001053533448 36.463586493643 12.5951338790663 54.2564136651266 32.9537710632399 -69.8028374359381 -33.397107360022
-13.1895018048796 -36.8943197994307 217.55534354927 36.2809795564322 5.94599536036134 27.7709973801871 35.1818342491655 -49.017315037631 -40.6974826278583
24.4980426158575 -21.0670796047964 119.065573334203 34.9339365980001 6.38516968552319 32.052768891614 36.7266551494699 -13.41016459513 -16.0591284692998
62.6630589141955 -10.0532558951663 50.5186711285323 31.7749045382016 8.1365200827097 43.4297046293465 37.4954935797045 13.4449184676287 21.1419859551661
95.3412631272207 -3.72230147511445 15.1560682370098 26.1488739438803 10.3350284035376 57.8670142951405 37.2873764490145 28.9920625569877 56.400078013013
118.403695942699 2.82889614001442 -8.16887855331662 17.6320631206766 2.06936796250222 11.9515018122031 36.0504726939509 36.4504761396771 84.0499667818115
130.059600175884 2.97712385075244 -4.72487379576715 6.12527131468417 1.99660523727596 11.6535628519557 33.7230986926329 33.9868078952767 89.8304791172045
130.506611996484 3.00930236887553 -0.848604464252578 -8.02405928101431 1.67010543148052 9.61387493633214 30.3605558247411 30.2323004391652 89.0856407480872
121.243345957548 2.93142615648153 2.72751529742225 -24.0322040306773 1.10306011315014 6.08461843641398 26.0447247251405 25.3251487437258 81.2215824764318
104.569234190259 2.75471012948993 5.44367097541655 -40.7381874675261 0.344927711386383 1.76214737752499 20.9765817716312 19.5275737971745 66.7241002191315
82.9847526897393 2.49425922220363 6.99884043705643 -56.7670976756374 -0.541573294312757 -2.45932387934034 15.4229255528588 13.1806123448242 47.0698953271563
58.9020999766915 2.17221128339044 7.37465855980392 -70.788356748197 -1.48349277122934 -5.68650885502442 9.64876301158797 6.69391650295215 24.5508354542085
34.5030743140099 1.81843095946735 6.8009887413573 -81.8000302495714 -2.40509878885084 -7.2518277914565 3.94210618823885 0.493509273940322 1.82946602954697
11.923497272657 1.46939524400536 5.67078753563355 -89.2068814961156 -3.23923707269411 -6.87729012414699 -1.41551088648306 -5.03879644050936 -18.6077709087001
-6.95298821070471 1.15981673664164 4.39539971630014 -92.7886646652565 -3.93641213347971 -4.70493242380779 -6.30903430545291 -9.62254882874848 -34.9280197722316
-20.8840908337885 0.91506747486021 3.27676100485603 -92.6423165081325 -4.47492401301818 -1.20290670036218 -10.5286194954247 -13.1273382363498 -46.2676103922711
-29.4524438822719 0.746946070404849 2.45474195161623 -89.1316123143038 -4.85163552966764 3.0201702479998 -14.0467550445603 -15.5539448255728 -52.6354174949575
-33.3097392710388 0.652874645529716 1.92811750083152 -82.8514093024102 -5.07487321165883 7.36374092957432 -16.7675207632362 -17.0058893063438 -54.6974126435216
-33.8241569628704 0.61977657572579 1.62073564094001 -74.5376985987589 -5.15223070873166 11.3163423774052 -18.702479916082 -17.6349373812234 -53.4225000532282
-32.5877723478319 0.630467923029337 1.44323840585829 -65.0618457706942 -5.09362891329125 14.5016385766764 -19.832183821146 -17.6137555289689 -49.8651403116759
-30.8931496232041 0.669545577784994 1.32584947316287 -55.2544672061617 -4.90231779253803 16.6657224986024 -20.2668187904293 -17.092364367699 -44.9249857069928
-29.5189696918065 0.726094786195378 1.22349380970232 -45.8665465879904 -4.58834970411552 17.7028867611033 -20.0673203694426 -16.2136030337145 -39.3616438184272
-28.6974805399542 0.794003100683506 1.1100626878009 -37.3997437820839 -4.16256915123617 17.6169196712078 -19.3302006105897 -15.0921686597189 -33.7217994286521
-28.1752623171964 0.870915333714218 0.972207799796452 -30.076100996591 -3.64724024593444 16.5328806378238 -18.152825280936 -13.8465821046141 -28.4251267111736
-27.4909984647151 0.955808525198024 0.80421325108604 -23.8306414235168 -3.07433970382004 14.6685666813281 -16.6045601725301 -12.6108691084886 -23.7943987094272
-26.226184058817 1.04681568362845 0.606246481384563 -18.3834085561285 -2.4775084662802 12.2763621924805 -14.7791429476696 -11.4985943820764 -19.9963464557768
-24.0752610715671 1.14032588122288 0.385864976689607 -13.3105541060641 -1.88816362957049 9.60741036303298 -12.7325807859091 -10.6053875453502 -17.0926976386272
-20.9808300797728 1.2307527844554 0.15824160114214 -8.27385508325058 -1.33934661396973 6.92571889188903 -10.5726365015552 -10.0158701950531 -15.0836312809221
-16.9689609589515 1.31133842684162 -0.0539177652185579 -2.93222860370594 -0.859513173026225 4.46971826761473 -8.41208355423395 -9.78833956071547 -13.9175729593552
-12.3569835860554 1.37435582479181 -0.226337749453508 2.76745082561867 -0.493209850647534 2.55118520625022 -6.45584521815457 -10.0107666411943 -13.5875518122146
