Field	Time	PELO:X	PELO:Y	PELO:Z	PELP:X	PELP:Y	PELP:Z	LKJC:X	LKJC:Y	LKJC:Z	LHJC:X	LHJC:Y	LHJC:Z	LAJC:X	LAJC:Y	LAJC:Z	RKJC:X	RKJC:Y	RKJC:Z	RHJC:X	RHJC:Y	RHJC:Z	RAJC:X	RAJC:Y	RAJC:Z	LTOO:X	LTOO:Y	LTOO:Z	RTOO:X	RTOO:Y	RTOO:Z	TRXO:X	TRXO:Y	TRXO:Z	TRXP:X	TRXP:Y	TRXP:Z
39	0.3800	159.946701	-3754.046631	803.765503	154.162079	-3741.337891	928.170349	105.141014	-3923.309814	453.792450	97.464142	-3756.663818	801.127441	135.864075	-4143.352539	115.900848	210.785553	-3599.418213	456.122009	222.429276	-3751.429199	806.403442	185.880768	-3497.522949	72.263542	112.591148	-4021.439941	34.818367	214.925903	-3347.894043	86.773323	169.847534	-3700.204346	1316.917236	172.752930	-3712.169922	1121.817383
40	0.3900	160.424484	-3737.536133	804.431213	154.209351	-3725.199707	928.852783	102.341034	-3904.925049	452.833923	97.952896	-3740.184326	801.573120	132.933823	-4135.447266	122.827568	210.375717	-3585.076172	456.459686	222.896088	-3734.888184	807.289307	184.515121	-3495.755127	70.490746	112.660072	-4020.267578	31.716679	212.872665	-3345.586914	79.888824	170.656311	-3685.889648	1317.644531	173.276306	-3696.993652	1122.593262
41	0.4000	160.988968	-3721.049805	805.352112	154.343430	-3709.090576	929.788147	99.253159	-3885.373047	451.685913	98.528351	-3723.709229	802.271912	129.878235	-4126.051758	130.179382	210.136627	-3571.267090	456.926208	223.449539	-3718.390137	808.432251	183.615204	-3494.588867	69.143929	112.658943	-4019.009033	29.065945	211.247238	-3344.072021	74.057755	171.394470	-3671.526611	1318.661987	173.749115	-3681.788086	1123.690796
42	0.4100	161.626480	-3704.644287	806.506897	154.565247	-3693.051758	930.954712	95.906647	-3864.638672	450.349487	99.176460	-3707.295410	803.210327	126.773399	-4115.086426	137.935425	210.029114	-3558.059326	457.499115	224.076355	-3701.993164	809.803345	183.083908	-3493.819092	68.226768	112.467339	-4017.437500	27.307312	209.953751	-3343.088867	69.369423	172.050674	-3657.133545	1319.949341	174.164948	-3666.586426	1125.086426
43	0.4200	162.319962	-3688.377686	807.873657	154.873383	-3677.124023	932.330322	92.344635	-3842.734619	448.850189	99.879791	-3691.000000	804.375000	123.704605	-4102.501465	146.069168	210.012115	-3545.521973	458.153076	224.760193	-3685.755371	811.372559	182.809204	-3493.285645	67.702759	111.926102	-4015.141602	26.871721	208.916397	-3342.429199	65.790138	172.615128	-3642.725586	1321.485596	174.517349	-3651.417480	1126.754761
44	0.4300	163.050049	-3672.304199	809.430481	155.264511	-3661.343018	933.892456	88.621567	-3819.704834	447.239288	100.618332	-3674.879150	805.752075	120.757301	-4088.271729	154.534683	210.047394	-3533.720947	458.861328	225.481720	-3669.729248	813.109009	182.683304	-3492.876709	67.506256	110.857170	-4011.539063	28.072578	208.089020	-3341.949951	63.204853	173.079651	-3628.318115	1323.247925	174.800751	-3636.309570	1128.667603
45	0.4400	163.795502	-3656.473633	811.156067	155.733688	-3645.740479	935.620117	84.800346	-3795.629639	445.594879	101.370003	-3658.984131	807.329346	118.007347	-4072.392822	163.250290	210.102722	-3522.714355	459.597046	226.220947	-3653.963135	814.982971	182.617065	-3492.521484	67.556473	109.094513	-4005.947021	31.022831	207.450150	-3341.561035	61.453449	173.438080	-3613.921631	1325.213135	175.010941	-3621.284180	1130.796143
46	0.4500	164.534195	-3640.928955	813.030884	156.274551	-3630.342773	937.494812	80.949326	-3770.625488	444.017609	102.112274	-3643.360107	809.095337	115.510201	-4054.869629	172.078781	210.154022	-3512.550049	460.334198	226.956039	-3638.497070	816.966431	182.546936	-3492.177734	67.770561	106.512543	-3997.691162	35.593544	206.989761	-3341.212158	60.359001	173.686127	-3599.547119	1327.357422	175.145020	-3606.361328	1133.109741
47	0.4600	165.244812	-3625.703369	815.036560	156.881271	-3615.170410	939.497986	77.139954	-3744.847656	442.623993	102.823410	-3628.043457	811.040100	113.294380	-4035.709473	180.816193	210.185287	-3503.261963	461.049500	227.666183	-3623.362549	819.033142	182.434830	-3491.822021	68.073685	103.044434	-3986.199951	41.452015	206.698715	-3340.875488	59.747517	173.821564	-3585.201416	1329.656006	175.202026	-3591.554199	1135.578979
48	0.4700	165.907242	-3610.819580	817.155762	157.547638	-3600.237061	941.613403	73.444458	-3718.482910	441.534088	103.482460	-3613.058350	813.153381	111.358635	-4014.919189	189.189362	210.186966	-3494.864014	461.723419	228.331894	-3608.580566	821.158325	182.265076	-3491.440918	68.404999	98.686981	-3971.073975	48.137699	206.561539	-3340.535156	59.462116	173.844147	-3570.892334	1332.083008	175.183060	-3576.873291	1138.173218
