trunkAngleR pelvisAngleR rightHipAngleR rightKneeAngleR rightFootAngleR rightAnkleAngleR
-0.403289822288261 5.13182340654311 -18.9825670539637 5.02769115722011 -27.9503825128215 6.19169910490541
-0.527505630105063 4.90997772932169 -19.3649625872206 6.68257172360431 -31.5239434562518 4.4335685838948
-0.672801274687415 4.67925055364958 -19.6090855422024 8.53381772212231 -35.6093314980511 2.21282231992318
-0.833555213485506 4.44266420341062 -19.6971210080495 10.586800483492 -40.1807615214683 -0.454175826516149
-1.00325725046886 4.20388501136904 -19.611801045293 12.8460259861378 -45.1630838856356 -3.50137184283582
-1.17489165910266 3.96692163299656 -19.3376698824401 15.3141724499832 -50.4231352019456 -6.80437123652577
-1.34122080806133 3.73623615620128 -18.8619616577866 17.990193614347 -55.7713323372806 -10.1829409089457
-1.49551775211402 3.51642430750247 -18.1758251995634 20.8663714915951 -60.9797681352046 -13.4211471365436
-1.6315441320665 3.31245305044274 -17.2748553880525 23.9246061612902 -65.8122350832106 -16.3003204834252
-1.74446091435711 3.12915015394526 -16.1602446465772 27.1326628425857 -70.0552862743514 -18.6332286312432
-1.83061686414017 2.97115196251385 -14.8390799116204 30.4417438039735 -73.5397092515423 -20.2877335734345
-1.88796765018504 2.84260459702219 -13.3246960539445 33.7859199848317 -76.1502725339005 -21.1970518981021
-1.91618299904428 2.74706133165503 -11.6363590250257 37.0841216925534 -77.8261644654088 -21.3586224161747
-1.91632803461291 2.68714885168189 -9.79879671557384 40.2446290139396 -78.5560943137015 -20.8255197325061
-1.89092781642151 2.66452820109831 -7.84104744570943 43.1717237146356 -78.3705788316792 -19.6932794702358
-1.84361440227102 2.67987512322074 -5.79493132165269 45.7735669041295 -77.3339449476625 -18.0855715986596
-1.77886914610433 2.73259151570282 -3.69353185778736 47.9698226855896 -75.536325612851 -16.1403795537712
-1.70181077074245 2.82077018499932 -1.56954578922418 49.6973988173154 -73.0852142465798 -13.9974994550409
-1.61769583989331 2.94129600356856 0.54632999937397 50.9138571677161 -70.0951259211454 -11.7863027492347
-1.53187737014691 3.0894998261536 2.62605768412155 51.5986756309194 -66.6770615043277 -9.61494373137626
-1.44939154549167 3.25963840451894 4.64546082275043 51.7526927200996 -62.9301120417604 -7.56324173989221
-1.37457769318624 3.44484131141653 6.58438198338857 51.3960232885992 -58.9367724381153 -5.68028982148817
-1.31112553710732 3.63770217359661 8.42723232676357 50.5646502491249 -54.7633087467333 -3.9881886507753
-1.26164321296382 3.83052099373926 10.1629253535766 49.3062076552179 -50.4636889193991 -2.48988562401848
-1.22774972529859 4.01615266990939 11.7849883372417 47.6749881443117 -46.0844492561674 -1.17829677918805
-1.20979408202125 4.18811496939391 13.290931002822 45.7271838563898 -41.668080466247 -0.0437126432851969
-1.20715244155245 4.34122615905577 14.6818963920717 43.5165836144347 -37.2541731266926 0.921740254726146
-1.21810635215964 4.47181262330873 15.9621078901086 41.0916986251212 -32.8786346573437 1.72276870097767
-1.24002852660659 4.57788937361778 17.1383113606619 38.4944902706763 -28.5717034981479 2.36236478548426
-1.26969342755599 4.65928117753096 18.2193777093595 35.7607423985657 -24.3561968154092 2.84444905132797
-1.30327722664167 4.71740413213261 19.2157658064849 32.921665354122 -20.2470353285284 3.17626835124133
-1.33691224189678 4.75502942995985 20.1392015894761 30.0063244523525 -16.2520057266892 3.37014656614705
-1.36675065243731 4.77601373271279 21.0020606274808 27.0435778529257 -12.3737174785301 3.44381347962756
-1.38950271943108 4.7848198259791 21.8167219770286 24.0640308211429 -8.61187326155242 3.42025540854105
-1.40234082017627 4.78601926717755 22.5943940581574 21.1003401145919 -4.96606828685687 3.3258970367552
-1.40334851480247 4.78401675103921 23.3439290882065 18.1869091575611 -1.43870988102404 3.18828693936978
-1.39155000540653 4.78238384736995 24.070131973507 15.3582390994342 1.96245922909462 3.0329502023918
-1.36701486536623 4.78399873741915 24.773277875012 12.6475346375804 5.22288016768224 2.88113566766979
-1.33088152972828 4.79044994998499 25.4482816197566 10.0853634682917 8.32143655227775 2.74896835079787
-1.28529559576321 4.80210974978303 26.0857692081833 7.69967674072076 11.2323431641594 2.64836044647988
-1.23332042100851 4.8181724470646 26.6738323886283 5.51671433864969 13.9275757380185 2.58863013510452
-1.17867991147229 4.83658790105555 27.2001424210719 3.56256820695139 16.3781235484595 2.5771372353945
-1.12588580088568 4.85426555311588 27.6539174944605 1.86386028114468 18.5537769036139 2.61798524341387
-1.07961627678538 4.8675423041068 28.0272690243107 0.447110767368475 20.4208570800154 2.70824112718002
-1.04478492971348 4.87214756759276 28.3152389266019 -0.663341713568496 21.9398968750527 2.83346380247512
-1.02617351582843 4.86389754108579 28.5158123066948 -1.44821175897611 23.0643823989854 2.96425587440026
-1.02813121048134 4.83890111016019 28.6292378257832 -1.89622092109975 23.7419445564173 3.0553869196945
-1.05429493635505 4.79391357863123 28.6576137912329 -2.00620768516803 23.9187032275173 3.04879532974757
-1.10739638384156 4.72663758714536 28.6045536150092 -1.78819703889887 23.5469220813507 2.88080901458795
-1.18912343495037 4.63596163953894 28.4751969747366 -1.26305987836147 22.5955908770446 2.49329566348542
-1.29972709978269 4.52199089048136 28.2758756241451 -0.46115299049703 21.064507728643 1.8494700044823
-1.43811399226011 4.38596904607857 28.0138142602643 0.580000848425225 18.998331868878 0.950487503117412
-1.60178728910952 4.23041216974815 27.6970464641267 1.818666617481 16.4970072695766 -0.150960407320884
-1.786809418254 4.05910040142219 27.3337756836963 3.21123277851254 13.7137957628801 -1.34964674088147
