	Force Plate 1												Force Plate 2												Force Plate 3												Force Plate 4
Sample #	FP1_COP:X	FP1_COP:Y	FP1_COP:Z	FP1_Ref:X	FP1_Ref:Y	FP1_Ref:Z	FP1_Force:X	FP1_Force:Y	FP1_Force:Z	FP1_Moment:X	FP1_Moment:Y	FP1_Moment:Z	FP2_COP:X	FP2_COP:Y	FP2_COP:Z	FP2_Ref:X	FP2_Ref:Y	FP2_Ref:Z	FP2_Force:X	FP2_Force:Y	FP2_Force:Z	FP2_Moment:X	FP2_Moment:Y	FP2_Moment:Z	FP3_COP:X	FP3_COP:Y	FP3_COP:Z	FP3_Ref:X	FP3_Ref:Y	FP3_Ref:Z	FP3_Force:X	FP3_Force:Y	FP3_Force:Z	FP3_Moment:X	FP3_Moment:Y	FP3_Moment:Z	FP4_COP:X	FP4_COP:Y	FP4_COP:Z	FP4_Ref:X	FP4_Ref:Y	FP4_Ref:Z	FP4_Force:X	FP4_Force:Y	FP4_Force:Z	FP4_Moment:X	FP4_Moment:Y	FP4_Moment:Z
22	0	0	0	198.839493	300.407135	0.055876	0.217501	0.393161	-1.007332	92.352665	-249.016942	51.413029	0	0	0	202.900341	-304.364990	-0.079583	-0.537727	-0.045937	-1.537665	7.306149	175.905289	115.621260	0	0	0	207.643188	-1058.390015	0.077032	-0.054487	0.183771	-0.590225	-16.707356	-63.036040	1.073059	0	0	0	-199.669022	-305.422272	-0.130892	-0.079787	-0.539040	-0.542611	-115.784974	27.379837	48.244546
23	0	0	0	198.839493	300.407135	0.055876	-0.045991	-0.051196	2.173803	-172.460484	-75.221850	-41.725197	0	0	0	202.900341	-304.364990	-0.079583	-0.006736	0.133355	-1.891088	-124.107143	69.221629	-89.130128	0	0	0	207.643188	-1058.390015	0.077032	0.124715	0.272660	-0.590590	118.885540	-62.977380	19.769279	0	0	0	-199.669022	-305.422272	-0.130892	-0.348004	0.256698	0.521163	-71.297526	-42.507484	66.879800
24	0	0	0	198.839493	300.407135	0.055876	0.568245	0.572512	-1.007144	91.372799	-73.779756	125.710049	0	0	0	202.900341	-304.364990	-0.079583	-0.627414	-0.134243	-0.475389	228.180431	106.399950	60.180847	0	0	0	207.643188	-1058.390015	0.077032	-0.321982	-0.258669	0.483529	-197.497326	-27.490552	-17.633230	0	0	0	-199.669022	-305.422272	-0.130892	0.628482	-0.537280	-0.542187	194.456153	63.121865	-44.509831
25	0	0	0	198.839493	300.407135	0.055876	0.392452	0.040131	3.234470	-303.290307	-286.195692	-78.930450	0	0	0	202.900341	-304.364990	-0.079583	-0.098377	0.222149	-0.120657	51.931639	140.709450	-126.105571	0	0	0	207.643188	-1058.390015	0.077032	0.840373	0.093196	-1.663772	-61.752531	-134.070661	114.374843	0	0	0	-199.669022	-305.422272	-0.130892	-0.080453	-0.185357	-0.897460	238.921285	-6.753039	11.296769
26	0	0	0	198.839493	300.407135	0.055876	0.039299	0.835932	-1.007553	90.130055	171.506187	32.727676	0	0	0	202.900341	-304.364990	-0.079583	-0.362477	-0.397314	0.941622	-79.951176	34.181272	-14.644211	0	0	0	207.643188	-1058.390015	0.077032	-0.140370	0.278271	2.627702	-61.794768	-27.266022	95.332883	0	0	0	-199.669022	-305.422272	-0.130892	0.183652	-0.095550	1.231062	-159.978035	-7.756399	-26.113432
27	0	0	0	198.839493	300.407135	0.055876	-0.133946	0.302635	-0.654074	-41.072118	30.620304	-4.494577	0	0	0	202.900341	-304.364990	-0.079583	-0.099502	0.134296	0.941751	-79.479908	-36.459963	-89.011923	0	0	0	207.643188	-1058.390015	0.077032	-0.056117	0.003544	-2.020125	-16.634789	-98.549065	57.697648	0	0	0	-199.669022	-305.422272	-0.130892	-0.168966	-0.450578	0.166769	-292.407821	-218.108861	-63.295337
28	0	0	0	198.839493	300.407135	0.055876	0.748582	-0.402454	0.053605	3.141111	-4.203224	-60.211612	0	0	0	202.900341	-304.364990	-0.079583	-0.006128	-0.396200	-0.474338	52.515298	-0.454187	-33.031305	0	0	0	207.643188	-1058.390015	0.077032	-0.231991	-0.080312	0.840666	-152.246328	115.101487	57.479485	0	0	0	-199.669022	-305.422272	-0.130892	-0.435871	-0.097206	0.875959	-27.113398	27.587934	11.126032
29	0	0	0	198.839493	300.407135	0.055876	-0.045545	0.125786	0.052960	-174.743978	345.323364	32.513195	0	0	0	202.900341	-304.364990	-0.079583	0.253241	0.224830	1.650473	8.138261	34.659408	41.288822	0	0	0	207.643188	-1058.390015	0.077032	-0.504545	-0.174880	-2.376844	73.661388	115.077615	19.508597	0	0	0	-199.669022	-305.422272	-0.130892	0.006996	0.080445	-0.188030	61.504577	62.779300	-81.760795
30	0	0	0	198.839493	300.407135	0.055876	-0.134915	0.745840	-2.774980	91.223096	-38.748961	69.947490	0	0	0	202.900341	-304.364990	-0.079583	-0.275122	0.044667	0.233289	-34.574548	-212.718841	-33.056170	0	0	0	207.643188	-1058.390015	0.077032	0.124085	-0.794862	-1.303820	28.471071	115.069120	19.561183	0	0	0	-199.669022	-305.422272	-0.130892	0.095309	0.169115	-0.188006	17.396222	-42.311555	-7.410091
31	0	0	0	198.839493	300.407135	0.055876	0.309882	-0.227974	-2.774459	265.905750	207.485227	32.834368	0	0	0	202.900341	-304.364990	-0.079583	0.082129	-0.130970	-1.182581	185.550553	-141.005741	-69.966325	0	0	0	207.643188	-1058.390015	0.077032	0.125597	0.007352	0.124986	254.446198	222.015898	56.818254	0	0	0	-199.669022	-305.422272	-0.130892	-0.081510	-0.273110	1.230962	-159.944607	-7.774652	-81.870465
32	0	0	0	198.839493	300.407135	0.055876	-0.218112	-0.230612	-2.067871	-128.793785	-4.917704	-116.051837	0	0	0	202.900341	-304.364990	-0.079583	0.343149	0.577739	-0.474299	8.263472	-0.624649	78.507927	0	0	0	207.643188	-1058.390015	0.077032	0.126412	0.097466	0.839936	28.228176	7.832954	-206.498622	0	0	0	-199.669022	-305.422272	-0.130892	0.005464	0.611261	0.166526	-71.438020	27.477802	11.099494
33	0	0	0	198.839493	300.407135	0.055876	-0.571909	0.033992	-1.007764	46.102993	171.285535	88.453188	0	0	0	202.900341	-304.364990	-0.079583	0.165131	0.136002	1.650386	96.130112	70.412394	41.401831	0	0	0	207.643188	-1058.390015	0.077032	0.304883	-0.348036	0.125403	-107.131811	-63.119378	-36.529737	0	0	0	-199.669022	-305.422272	-0.130892	0.095295	0.345783	-0.897529	16.720638	202.736737	104.023722
34	0	0	0	198.839493	300.407135	0.055876	0.132674	-0.494133	1.467091	178.010011	206.987020	-97.316019	0	0	0	202.900341	-304.364990	-0.079583	0.076865	0.488354	0.233593	-36.085957	34.479798	134.227133	0	0	0	207.643188	-1058.390015	0.077032	-0.053104	-0.525184	0.483685	344.764532	-27.421783	-37.118247	0	0	0	-199.669022	-305.422272	-0.130892	-0.083466	0.257938	2.294984	-71.219527	-42.550072	-63.220198
35	0	0	0	198.839493	300.407135	0.055876	-0.304603	-0.674450	-0.653955	-128.445674	-74.996821	-78.865637	0	0	0	202.900341	-304.364990	-0.079583	0.256551	-0.217395	0.942452	8.373895	-0.661239	4.104975	0	0	0	207.643188	-1058.390015	0.077032	-0.230743	-0.078425	1.913325	28.423944	-98.739613	-55.478830	0	0	0	-199.669022	-305.422272	-0.130892	0.361130	0.081325	-0.187818	17.701675	-147.340851	-81.718274
36	0	0	0	198.839493	300.407135	0.055876	-0.133715	0.302551	-1.007541	-216.872111	-5.350252	32.568187	0	0	0	202.900341	-304.364990	-0.079583	0.079272	0.222880	-0.474516	272.890545	0.690841	4.496887	0	0	0	207.643188	-1058.390015	0.077032	0.038484	0.011110	2.270409	-287.986065	79.197841	-93.131948	0	0	0	-199.669022	-305.422272	-0.130892	0.007201	0.168663	-0.897523	-115.925468	97.364887	-7.535744
37	0	0	0	198.839493	300.407135	0.055876	0.924649	-0.313028	-1.006702	-392.190236	-111.447852	-97.614606	0	0	0	202.900341	-304.364990	-0.079583	-0.005685	0.133007	-2.599330	139.938176	141.215028	-14.370503	0	0	0	207.643188	-1058.390015	0.077032	0.216021	0.097482	0.839832	-152.227655	-98.607724	39.001428	0	0	0	-199.669022	-305.422272	-0.130892	0.006755	0.433897	-1.252343	16.981521	97.731789	104.058252
38	0	0	0	198.839493	300.407135	0.055876	-0.483731	-0.231347	0.759691	-436.601863	-41.576245	-23.321451	0	0	0	202.900341	-304.364990	-0.079583	0.171742	-0.130865	-1.890693	96.796589	-70.778571	78.673822	0	0	0	207.643188	-1058.390015	0.077032	0.214790	0.006740	-0.232673	-61.858937	79.505709	57.436967	0	0	0	-199.669022	-305.422272	-0.130892	0.360705	0.081558	0.521645	239.030532	-41.766977	-25.863082
39	0	0	0	198.839493	300.407135	0.055876	-0.396057	-0.053648	-0.300694	-127.575396	-250.194613	14.099622	0	0	0	202.900341	-304.364990	-0.079583	-0.094394	-0.043848	-1.891131	95.907298	140.971386	-51.637296	0	0	0	207.643188	-1058.390015	0.077032	0.483499	0.628778	-0.234080	73.688459	-27.373233	19.759211	0	0	0	-199.669022	-305.422272	-0.130892	-0.081970	0.168791	0.166619	105.958597	-7.089520	-7.368525
40	0	0	0	198.839493	300.407135	0.055876	0.215409	0.482485	1.466915	-129.077431	30.161492	32.617345	0	0	0	202.900341	-304.364990	-0.079583	0.080930	-0.307024	0.233990	184.773653	0.221853	-32.835348	0	0	0	207.643188	-1058.390015	0.077032	0.486096	0.099420	1.912178	-468.597047	-134.346163	1.724222	0	0	0	-199.669022	-305.422272	-0.130892	0.271710	0.523239	-0.542748	150.053577	63.054321	85.563755
